customerid,tenure,monthlycharges,totalcharges,contract,paymentmethod,churn,gender,seniorcitizen,partner,dependents,internetservice,source
1862-QRWPE,48,20.65,1057.0,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
2796-NNUFI,46,19.95,927.1,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
3016-KSVCP,29,33.75,1009.25,Month-to-month,Mailed check,0,Male,0,Yes,No,DSL,kaggle
4767-HZZHQ,30,82.05,2570.2,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
2424-WVHPL,1,74.7,74.7,Month-to-month,Electronic check,0,Male,1,No,No,Fiber optic,kaggle
7233-PAHHL,66,84.0,5714.25,Two year,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
6067-NGCEU,65,111.05,7107.0,Month-to-month,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
9848-JQJTX,72,100.9,7459.05,Two year,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
8637-XJIVR,12,78.95,927.35,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
9803-FTJCG,71,66.85,4748.7,One year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
0278-YXOOG,5,21.05,113.85,Month-to-month,Mailed check,1,Male,0,No,No,No,kaggle
3212-KXOCR,52,21.0,1107.2,Two year,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
4598-XLKNJ,25,98.5,2514.5,Month-to-month,Electronic check,1,Female,1,Yes,No,Fiber optic,kaggle
6380-ARCEH,1,20.2,20.2,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
3679-XASPY,1,19.45,19.45,Month-to-month,Electronic check,0,Female,0,Yes,Yes,No,kaggle
7123-WQUHX,38,95.0,3605.6,One year,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
5386-THSLQ,66,45.55,3027.25,One year,Bank transfer (automatic),0,Female,1,Yes,No,DSL,kaggle
3192-NQECA,68,110.0,7611.85,Two year,Bank transfer (automatic),1,Male,0,Yes,No,Fiber optic,kaggle
6180-YBIQI,5,24.3,100.2,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
6728-DKUCO,72,104.15,7303.05,One year,Electronic check,0,Female,0,Yes,Yes,Fiber optic,kaggle
9750-BOOHV,32,30.15,927.65,One year,Mailed check,0,Female,0,No,No,DSL,kaggle
8597-CWYHH,43,94.35,3921.3,One year,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
2848-YXSMW,72,19.4,1363.25,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
0486-HECZI,55,96.75,5238.9,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
4549-ZDQYY,52,57.95,3042.25,One year,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
5712-AHQNN,43,91.65,3954.1,Month-to-month,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
4846-WHAFZ,37,76.5,2868.15,Month-to-month,Electronic check,1,Female,1,Yes,No,Fiber optic,kaggle
5256-SKJGO,64,54.6,3423.5,Two year,Electronic check,0,Female,0,Yes,Yes,DSL,kaggle
3071-VBYPO,3,89.85,248.4,Month-to-month,Electronic check,0,Male,0,Yes,Yes,Fiber optic,kaggle
9560-BBZXK,36,31.05,1126.35,Two year,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
5299-RULOA,10,100.25,1064.65,Month-to-month,Electronic check,1,Female,0,Yes,Yes,Fiber optic,kaggle
8402-OOOHJ,41,20.65,835.15,Two year,Mailed check,0,Female,0,No,No,No,kaggle
9445-ZUEQE,27,85.2,2151.6,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
1091-SOZGA,56,99.8,5515.45,One year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
2928-HLDBA,6,20.7,112.75,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
0404-SWRVG,3,74.4,229.55,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
6497-TILVL,7,50.7,350.35,Month-to-month,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
7219-TLZHO,4,20.85,62.9,Month-to-month,Mailed check,0,Female,0,Yes,Yes,No,kaggle
4622-YNKIJ,33,88.95,3027.65,Two year,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
4412-YLTKF,27,78.05,2135.5,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
6734-PSBAW,72,23.55,1723.95,Two year,Bank transfer (automatic),0,Male,0,Yes,No,No,kaggle
3930-ZGWVE,1,19.75,19.75,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
2639-UGMAZ,71,56.45,3985.35,One year,Electronic check,0,Male,1,No,No,DSL,kaggle
2876-GZYZC,13,85.95,1215.65,Month-to-month,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
6207-WIOLX,25,58.6,1502.65,Month-to-month,Credit card (automatic),1,Female,0,Yes,Yes,DSL,kaggle
8587-XYZSF,67,50.55,3260.1,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
3091-FYHKI,1,35.45,35.45,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
2372-HWUHI,2,44.35,81.25,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
7799-LGRDP,43,25.7,1188.2,Two year,Credit card (automatic),0,Female,0,No,No,No,kaggle
7850-VWJUU,23,75.0,1778.5,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
3774-VBNXY,64,20.2,1277.75,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
6217-KDYWC,57,19.6,1170.55,Two year,Mailed check,0,Male,0,No,Yes,No,kaggle
0390-DCFDQ,1,70.45,70.45,Month-to-month,Mailed check,1,Female,1,Yes,No,Fiber optic,kaggle
3146-MSEGF,72,88.05,6425.65,Two year,Credit card (automatic),0,Female,1,Yes,Yes,DSL,kaggle
4080-OGPJL,8,71.15,563.65,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
1095-WGNGG,61,101.05,5971.25,Two year,Bank transfer (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
2636-SJDOU,64,84.3,5289.05,One year,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
1131-QQZEB,71,23.95,1756.2,Two year,Bank transfer (automatic),0,Male,1,Yes,No,No,kaggle
5716-EZXZN,65,99.05,6416.7,Two year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
6837-BJYDQ,3,19.6,61.35,One year,Mailed check,0,Male,0,No,No,No,kaggle
2135-RXIHG,1,45.65,45.65,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
6440-DKQGE,30,64.5,1929.95,One year,Credit card (automatic),0,Male,0,No,Yes,DSL,kaggle
3466-BYAVD,15,69.5,1071.4,Month-to-month,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
3780-YVMFA,8,68.55,564.35,Month-to-month,Electronic check,0,Female,0,Yes,Yes,DSL,kaggle
3874-EQOEP,7,95.0,655.5,Month-to-month,Mailed check,1,Male,0,No,No,Fiber optic,kaggle
1679-JRFBR,70,108.15,7930.55,One year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
9073-ZZIAY,62,86.1,5215.25,Two year,Electronic check,0,Male,0,Yes,Yes,DSL,kaggle
3077-RSNTJ,6,19.7,113.5,Month-to-month,Mailed check,0,Female,0,Yes,Yes,No,kaggle
6551-GNYDG,14,80.9,1152.8,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
9167-APMXZ,22,84.15,1821.95,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
2749-CTKAJ,22,20.15,419.9,One year,Mailed check,0,Male,0,Yes,Yes,No,kaggle
6371-NZYEG,16,64.25,1024.0,Two year,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
7554-NEWDD,10,25.7,251.6,Two year,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
8992-VONJD,13,56.0,764.55,Month-to-month,Electronic check,0,Female,0,No,Yes,DSL,kaggle
0867-MKZVY,20,82.4,1592.35,Month-to-month,Electronic check,1,Female,0,Yes,No,Fiber optic,kaggle
4482-EWFMI,2,69.7,135.2,Month-to-month,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
4648-YPBTM,53,73.9,3958.25,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
2907-ILJBN,11,20.6,233.9,One year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
6345-FZOQH,69,19.9,1363.45,Two year,Mailed check,0,Male,0,Yes,No,No,kaggle
3376-BMGFE,4,70.9,273.0,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,Fiber optic,kaggle
5997-OPVFA,72,89.05,6254.45,Two year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
3445-HXXGF,58,45.3,2651.2,Month-to-month,Electronic check,1,Male,1,Yes,No,DSL,kaggle
1159-WFSGR,16,20.4,321.4,Month-to-month,Electronic check,0,Female,0,Yes,Yes,No,kaggle
7654-YWJUF,43,84.25,3539.25,One year,Bank transfer (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
1875-QIVME,2,104.4,242.8,Month-to-month,Electronic check,1,Female,0,Yes,No,Fiber optic,kaggle
6727-IOTLZ,14,81.95,1181.75,Two year,Mailed check,0,Male,0,Yes,No,DSL,kaggle
0691-JVSYA,53,94.85,5000.2,One year,Bank transfer (automatic),1,Female,0,Yes,No,Fiber optic,kaggle
5918-VUKWP,32,20.55,654.55,One year,Bank transfer (automatic),0,Female,0,No,No,No,kaggle
1744-JHKYS,34,24.7,780.2,Month-to-month,Electronic check,0,Female,0,Yes,No,No,kaggle
2656-FMOKZ,15,74.45,1145.7,Month-to-month,Mailed check,1,Female,1,No,No,Fiber optic,kaggle
2070-FNEXE,7,76.45,503.6,Month-to-month,Bank transfer (automatic),1,Female,1,No,No,Fiber optic,kaggle
5947-SGKCL,15,105.35,1559.25,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
3712-PKXZA,61,20.55,1252.0,One year,Credit card (automatic),0,Male,0,Yes,No,No,kaggle
6317-YPKDH,1,29.95,29.95,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,DSL,kaggle
6582-OIVSP,1,45.3,45.3,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
9367-WXLCH,8,84.5,662.65,Month-to-month,Bank transfer (automatic),1,Male,0,No,No,Fiber optic,kaggle
5524-KHNJP,33,74.75,2453.3,One year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1918-ZBFQJ,13,79.25,1111.65,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
1024-GUALD,1,24.8,24.8,Month-to-month,Electronic check,1,Female,0,Yes,No,DSL,kaggle
4827-USJHP,20,51.8,1023.85,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
8167-GJLRN,3,30.4,82.15,Month-to-month,Electronic check,0,Male,0,No,No,DSL,kaggle
0956-SYCWG,13,19.65,244.8,One year,Electronic check,0,Female,0,No,No,No,kaggle
8017-UVSZU,40,56.6,2379.1,Month-to-month,Credit card (automatic),0,Female,0,Yes,No,DSL,kaggle
7100-FQPRV,43,71.9,3173.35,One year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
2472-OVKUP,6,91.0,531.0,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
2984-RGEYA,69,19.75,1375.4,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
9680-NIAUV,72,109.7,8129.3,Two year,Credit card (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
2146-EGVDT,59,19.3,1192.7,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
2604-IJPDU,20,96.55,1901.65,Month-to-month,Electronic check,0,Female,0,Yes,No,Fiber optic,kaggle
9178-JHUVJ,24,24.1,587.4,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,No,kaggle
6168-YBYNP,59,111.35,6519.75,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
7255-SSFBC,72,112.25,8041.65,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
3645-DEYGF,1,20.75,20.75,Month-to-month,Mailed check,0,Male,0,No,Yes,No,kaggle
9323-HGFWY,27,101.9,2681.15,One year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
8544-GOQSH,14,80.05,1112.3,Month-to-month,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
3363-DTIVD,71,105.55,7405.5,Two year,Electronic check,0,Male,0,Yes,Yes,Fiber optic,kaggle
7018-WBJNK,13,78.3,1033.95,Month-to-month,Credit card (automatic),0,Male,0,No,Yes,Fiber optic,kaggle
9142-KZXOP,44,68.85,2958.95,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
7674-YTAFD,33,79.95,2684.85,One year,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
6348-SNFUS,72,55.45,4179.2,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1285-OKIPP,1,79.9,79.9,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
7825-ECJRF,19,106.6,1934.45,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
1347-KTTTA,64,102.45,6654.1,One year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
7841-TZDMQ,2,46.0,84.5,Month-to-month,Credit card (automatic),1,Male,0,No,No,DSL,kaggle
4195-NZGTA,1,25.25,25.25,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
7157-SMCFK,61,19.75,1124.2,Two year,Mailed check,0,Male,0,No,Yes,No,kaggle
4709-LKHYG,29,20.0,540.05,One year,Electronic check,0,Female,0,Yes,Yes,No,kaggle
2504-DSHIH,23,86.8,1975.85,Month-to-month,Electronic check,0,Male,1,Yes,No,Fiber optic,kaggle
0699-NDKJM,57,58.75,3437.45,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
9286-BHDQG,72,45.25,3139.8,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
0230-WEQUW,66,56.6,3789.2,Two year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
2040-LDIWQ,65,84.2,5324.5,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
6496-JDSSB,8,80.0,624.6,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
9408-SSNVZ,4,70.15,268.35,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
4443-EMBNA,71,24.75,1836.9,Two year,Bank transfer (automatic),0,Female,0,Yes,No,No,kaggle
6469-MRVET,1,20.2,20.2,One year,Electronic check,0,Male,0,Yes,Yes,No,kaggle
0742-MOABM,4,50.05,179.35,Month-to-month,Mailed check,1,Male,0,Yes,No,DSL,kaggle
5961-VUSRV,12,19.35,219.35,One year,Bank transfer (automatic),0,Female,0,No,No,No,kaggle
6778-JFCMK,24,50.6,1288.75,One year,Mailed check,0,Male,0,No,No,DSL,kaggle
6341-JVQGF,31,81.15,2545.75,One year,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
2232-DMLXU,1,55.2,55.2,Month-to-month,Mailed check,1,Female,0,Yes,No,DSL,kaggle
4811-JBUVU,30,89.9,2723.15,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
0945-TSONX,47,85.3,4107.25,Two year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
2651-ZCBXV,54,108.0,5760.65,Two year,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
3316-UWXUY,50,93.5,4747.5,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
8937-RDTHP,1,84.6,84.6,Month-to-month,Mailed check,1,Male,0,No,No,Fiber optic,kaggle
7083-MIOPC,72,20.25,1566.9,Two year,Credit card (automatic),0,Female,0,No,No,No,kaggle
1984-GPTEH,29,25.15,702.0,Month-to-month,Electronic check,0,Female,0,No,No,No,kaggle
1251-KRREG,2,54.4,114.1,Month-to-month,Mailed check,1,Male,0,No,No,DSL,kaggle
0621-JFHOL,10,29.6,299.05,Two year,Mailed check,0,Female,0,No,No,DSL,kaggle
9903-LYSAB,18,73.15,1305.95,Month-to-month,Electronic check,0,Male,0,Yes,No,Fiber optic,kaggle
0094-OIFMO,11,95.0,1120.3,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
9227-UAQFT,16,19.75,284.35,Two year,Mailed check,0,Male,0,No,No,No,kaggle
7301-ABVAD,72,86.6,6350.5,Two year,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
6614-FHDBO,72,109.2,7878.3,Two year,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
7576-ASEJU,41,74.7,3187.65,One year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
9058-HRZSV,65,94.4,6126.15,Month-to-month,Electronic check,0,Female,1,Yes,No,Fiber optic,kaggle
4522-AKYLR,13,54.8,731.3,Month-to-month,Electronic check,0,Female,1,No,No,DSL,kaggle
0221-WMXNQ,4,75.35,273.4,Month-to-month,Electronic check,0,Male,1,No,No,Fiber optic,kaggle
0303-UNCIP,41,65.0,2531.8,One year,Mailed check,0,Male,0,No,No,DSL,kaggle
9947-OTFQU,15,74.4,1074.3,Month-to-month,Electronic check,1,Male,1,No,No,Fiber optic,kaggle
0322-YINQP,1,48.55,48.55,Month-to-month,Mailed check,1,Male,0,No,No,DSL,kaggle
0959-WHOKV,42,99.0,4298.45,One year,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
