customerid,tenure,monthlycharges,totalcharges,churn,seniorcitizen,partner,dependents,source,avgmonthly,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,gender_Male,internetservice_Fiber optic,internetservice_No,tenurebucket_13-24,tenurebucket_25-48,tenurebucket_49+
5129-JLPIS,25,105.5,2686.05,0,0,No,No,kaggle,107.44200000000001,False,False,False,True,False,True,True,False,False,True,False
3655-SNQYZ,69,113.25,7895.15,0,0,Yes,Yes,kaggle,114.42246376811593,False,True,True,False,False,False,True,False,False,False,True
8191-XWSZG,52,20.65,1022.95,0,0,No,No,kaggle,19.672115384615385,True,False,False,False,True,False,False,True,False,False,True
9959-WOFKT,71,106.7,7382.25,0,0,No,Yes,kaggle,103.97535211267606,False,True,False,False,False,True,True,False,False,False,True
4190-MFLUW,10,55.2,528.35,1,0,Yes,Yes,kaggle,52.835,False,False,True,False,False,False,False,False,False,False,False
4183-MYFRB,21,90.05,1862.9,0,0,No,No,kaggle,88.70952380952382,False,False,False,True,False,False,True,False,True,False,False
8779-QRDMV,1,39.65,39.65,1,1,No,No,kaggle,39.65,False,False,False,True,False,True,False,False,False,False,False
1680-VDCWW,12,19.8,202.25,0,0,Yes,No,kaggle,16.854166666666668,True,False,False,False,False,True,False,True,False,False,False
1066-JKSGK,1,20.15,20.15,1,0,No,No,kaggle,20.15,False,False,False,False,True,True,False,True,False,False,False
3638-WEABW,58,59.9,3505.1,0,0,Yes,No,kaggle,60.432758620689654,False,True,True,False,False,False,False,False,False,False,True
6322-HRPFA,49,59.6,2970.3,0,0,Yes,Yes,kaggle,60.61836734693878,False,False,True,False,False,True,False,False,False,False,True
6865-JZNKO,30,55.3,1530.6,0,0,No,No,kaggle,51.019999999999996,False,False,False,False,False,False,False,False,False,True,False
6467-CHFZW,47,99.35,4749.15,1,0,Yes,Yes,kaggle,101.04574468085106,False,False,False,True,False,True,True,False,False,True,False
8665-UTDHZ,1,30.2,30.2,1,0,Yes,Yes,kaggle,30.2,False,False,False,True,False,True,False,False,False,False,False
5248-YGIJN,72,90.25,6369.45,0,0,Yes,No,kaggle,88.46458333333334,False,True,True,False,False,True,False,False,False,False,True
8773-HHUOZ,17,64.7,1093.1,1,0,No,Yes,kaggle,64.3,False,False,False,False,True,False,False,False,True,False,False
3841-NFECX,71,96.35,6766.95,0,1,Yes,No,kaggle,95.30915492957746,False,True,True,False,False,False,True,False,False,False,True
4929-XIHVW,2,95.5,181.65,0,1,Yes,No,kaggle,90.825,False,False,True,False,False,True,True,False,False,False,False
6827-IEAUQ,27,66.15,1874.45,0,0,Yes,Yes,kaggle,69.42407407407407,True,False,False,False,True,False,False,False,False,True,False
7310-EGVHZ,1,20.2,20.2,0,0,No,No,kaggle,20.2,False,False,False,False,False,True,False,True,False,False,False
3413-BMNZE,1,45.25,45.25,0,1,No,No,kaggle,45.25,False,False,False,False,False,True,False,False,False,False,False
6234-RAAPL,72,99.9,7251.7,0,0,Yes,Yes,kaggle,100.71805555555555,False,True,False,False,False,False,True,False,False,False,True
6047-YHPVI,5,69.7,316.9,1,0,No,No,kaggle,63.379999999999995,False,False,False,True,False,True,True,False,False,False,False
6572-ADKRS,46,74.8,3548.3,0,0,No,No,kaggle,77.13695652173914,False,False,True,False,False,False,True,False,False,True,False
5380-WJKOV,34,106.35,3549.25,1,0,No,No,kaggle,104.38970588235294,False,False,False,True,False,True,True,False,False,True,False
8168-UQWWF,11,97.85,1105.4,1,0,No,No,kaggle,100.4909090909091,False,False,False,False,False,False,True,False,False,False,False
8865-TNMNX,10,49.55,475.7,0,0,Yes,Yes,kaggle,47.57,True,False,False,False,True,True,False,False,False,False,False
9489-DEDVP,70,69.2,4872.35,0,0,Yes,Yes,kaggle,69.605,False,True,True,False,False,False,False,False,False,False,True
9867-JCZSP,17,20.75,418.25,0,0,Yes,Yes,kaggle,24.602941176470587,True,False,False,False,True,False,False,True,True,False,False
4671-VJLCL,63,79.85,4861.45,0,0,No,No,kaggle,77.16587301587302,False,True,True,False,False,False,False,False,False,False,True
4080-IIARD,13,76.2,981.45,0,0,Yes,No,kaggle,75.49615384615385,False,False,False,True,False,False,False,False,True,False,False
3714-NTNFO,49,84.5,3906.7,0,0,No,No,kaggle,79.72857142857143,False,False,False,True,False,False,True,False,False,False,True
5948-UJZLF,2,49.25,97.0,0,0,No,No,kaggle,48.5,False,False,False,False,True,True,False,False,False,False,False
7760-OYPDY,2,80.65,144.15,1,0,No,No,kaggle,72.075,False,False,False,True,False,False,True,False,False,False,False
7639-LIAYI,52,79.75,4217.8,0,0,No,No,kaggle,81.11153846153846,False,True,True,False,False,True,False,False,False,False,True
2954-PIBKO,69,64.15,4254.1,0,0,Yes,Yes,kaggle,61.6536231884058,False,True,True,False,False,False,False,False,False,False,True
8012-SOUDQ,43,90.25,3838.75,0,1,No,No,kaggle,89.27325581395348,False,False,False,True,False,False,True,False,False,True,False
9420-LOJKX,15,99.1,1426.4,1,0,No,No,kaggle,95.09333333333333,False,False,True,False,False,False,True,False,True,False,False
6575-SUVOI,25,69.5,1752.65,0,1,Yes,No,kaggle,70.10600000000001,False,False,True,False,False,False,False,False,False,True,False
7495-OOKFY,8,80.65,633.3,1,1,Yes,No,kaggle,79.1625,False,False,True,False,False,False,True,False,False,False,False
4667-QONEA,60,74.85,4456.35,0,1,Yes,Yes,kaggle,74.27250000000001,True,False,True,False,False,False,False,False,False,False,True
1658-BYGOY,18,95.45,1752.55,1,1,No,No,kaggle,97.36388888888888,False,False,False,True,False,True,True,False,True,False,False
8769-KKTPH,63,99.65,6311.2,0,0,Yes,Yes,kaggle,100.17777777777778,True,False,True,False,False,False,True,False,False,False,True
5067-XJQFU,66,108.45,7076.35,0,1,Yes,Yes,kaggle,107.21742424242424,True,False,False,True,False,True,True,False,False,False,True
3957-SQXML,34,24.95,894.3,0,0,Yes,Yes,kaggle,26.302941176470586,False,True,True,False,False,False,False,True,False,True,False
5954-BDFSG,72,107.5,7853.7,0,0,No,No,kaggle,109.07916666666667,False,True,True,False,False,False,True,False,False,False,True
0434-CSFON,47,100.5,4707.1,0,0,Yes,No,kaggle,100.15106382978725,False,False,False,True,False,False,True,False,False,True,False
1215-FIGMP,60,89.9,5450.7,0,0,No,No,kaggle,90.845,False,False,False,False,False,True,True,False,False,False,True
0526-SXDJP,72,42.1,2962.0,0,0,Yes,No,kaggle,41.138888888888886,False,True,False,False,False,True,False,False,False,False,True
0557-ASKVU,18,54.4,957.1,0,0,Yes,Yes,kaggle,53.172222222222224,True,False,True,False,False,False,False,False,True,False,False
5698-BQJOH,9,94.4,857.25,1,0,No,No,kaggle,95.25,False,False,False,True,False,False,True,False,False,False,False
5122-CYFXA,3,75.3,244.1,0,0,No,No,kaggle,81.36666666666666,False,False,False,True,False,False,False,False,False,False,False
8627-ZYGSZ,47,78.9,3650.35,0,0,Yes,No,kaggle,77.66702127659575,True,False,False,True,False,True,True,False,False,True,False
3410-YOQBQ,31,79.2,2497.2,0,0,No,No,kaggle,80.55483870967741,False,True,False,False,True,False,False,False,False,True,False
3170-NMYVV,50,20.15,930.9,0,0,Yes,Yes,kaggle,18.618,False,True,False,False,False,False,False,True,False,False,True
7410-OIEDU,10,79.85,887.35,0,0,No,No,kaggle,88.735,False,False,False,False,True,True,True,False,False,False,False
2273-QCKXA,1,49.05,49.05,0,0,No,No,kaggle,49.05,False,False,False,False,True,True,False,False,False,False,False
0731-EBJQB,52,20.4,1090.65,0,0,Yes,Yes,kaggle,20.974038461538463,True,False,False,True,False,False,False,True,False,False,True
1891-QRQSA,64,111.6,7099.0,0,1,Yes,Yes,kaggle,110.921875,False,True,False,False,False,True,True,False,False,False,True
8028-PNXHQ,62,24.25,1424.6,0,0,Yes,Yes,kaggle,22.97741935483871,False,True,False,False,False,True,False,True,False,False,True
5630-AHZIL,3,64.5,177.4,0,0,No,Yes,kaggle,59.13333333333333,False,False,False,False,False,False,False,False,False,False,False
2673-CXQEU,56,110.5,6139.5,0,1,No,No,kaggle,109.63392857142857,True,False,False,True,False,False,True,False,False,False,True
6416-JNVRK,46,55.65,2688.85,0,0,No,No,kaggle,58.45326086956521,True,False,True,False,False,False,False,False,False,True,False
5590-ZSKRV,8,54.65,482.25,0,0,Yes,Yes,kaggle,60.28125,False,False,False,False,True,False,False,False,False,False,False
0191-ZHSKZ,30,74.75,2111.3,0,1,No,No,kaggle,70.37666666666668,False,False,False,True,False,True,False,False,False,True,False
3887-PBQAO,45,25.9,1216.6,0,0,Yes,Yes,kaggle,27.035555555555554,True,False,True,False,False,False,False,True,False,True,False
5919-TMRGD,1,79.35,79.35,1,0,No,Yes,kaggle,79.35,False,False,False,True,False,False,True,False,False,False,False
8108-UXRQN,11,50.55,565.35,0,0,Yes,Yes,kaggle,51.39545454545455,False,False,False,True,False,False,False,False,False,False,False
9191-MYQKX,7,75.15,496.9,1,0,Yes,No,kaggle,70.98571428571428,False,False,False,False,False,False,True,False,False,False,False
9919-YLNNG,42,103.8,4327.5,0,0,No,No,kaggle,103.03571428571429,False,False,False,False,False,False,True,False,False,True,False
0318-ZOPWS,49,20.15,973.35,0,0,Yes,No,kaggle,19.864285714285714,False,True,False,False,False,False,False,True,False,False,True
4445-ZJNMU,9,99.3,918.75,0,0,No,No,kaggle,102.08333333333333,False,False,True,False,False,True,True,False,False,False,False
4808-YNLEU,35,62.15,2215.45,0,0,Yes,No,kaggle,63.29857142857142,True,False,False,False,False,False,False,False,False,True,False
1862-QRWPE,48,20.65,1057.0,0,0,Yes,Yes,kaggle,22.020833333333332,False,True,False,False,False,False,False,True,False,True,False
2796-NNUFI,46,19.95,927.1,0,0,Yes,Yes,kaggle,20.15434782608696,False,True,False,False,True,False,False,True,False,True,False
3016-KSVCP,29,33.75,1009.25,0,0,Yes,No,kaggle,34.80172413793103,False,False,False,False,True,True,False,False,False,True,False
4767-HZZHQ,30,82.05,2570.2,0,0,Yes,Yes,kaggle,85.67333333333333,False,False,False,False,False,True,True,False,False,True,False
2424-WVHPL,1,74.7,74.7,0,1,No,No,kaggle,74.7,False,False,False,True,False,True,True,False,False,False,False
7233-PAHHL,66,84.0,5714.25,0,0,Yes,Yes,kaggle,86.57954545454545,False,True,False,False,True,True,False,False,False,False,True
6067-NGCEU,65,111.05,7107.0,0,0,No,No,kaggle,109.33846153846154,False,False,True,False,False,False,True,False,False,False,True
9848-JQJTX,72,100.9,7459.05,0,0,No,No,kaggle,103.59791666666666,False,True,False,False,False,True,True,False,False,False,True
8637-XJIVR,12,78.95,927.35,1,0,No,No,kaggle,77.27916666666667,False,False,False,True,False,False,True,False,False,False,False
9803-FTJCG,71,66.85,4748.7,0,0,Yes,Yes,kaggle,66.8830985915493,True,False,True,False,False,True,False,False,False,False,True
0278-YXOOG,5,21.05,113.85,1,0,No,No,kaggle,22.77,False,False,False,False,True,True,False,True,False,False,False
3212-KXOCR,52,21.0,1107.2,0,0,No,No,kaggle,21.292307692307695,False,True,False,False,False,True,False,True,False,False,True
4598-XLKNJ,25,98.5,2514.5,1,1,Yes,No,kaggle,100.58,False,False,False,True,False,False,True,False,False,True,False
6380-ARCEH,1,20.2,20.2,0,0,No,No,kaggle,20.2,False,False,False,False,True,True,False,True,False,False,False
3679-XASPY,1,19.45,19.45,0,0,Yes,Yes,kaggle,19.45,False,False,False,True,False,False,False,True,False,False,False
7123-WQUHX,38,95.0,3605.6,0,0,No,No,kaggle,94.88421052631578,True,False,False,False,False,True,True,False,False,True,False
5386-THSLQ,66,45.55,3027.25,0,1,Yes,No,kaggle,45.86742424242424,True,False,False,False,False,False,False,False,False,False,True
3192-NQECA,68,110.0,7611.85,1,0,Yes,No,kaggle,111.93897058823529,False,True,False,False,False,True,True,False,False,False,True
6180-YBIQI,5,24.3,100.2,0,0,No,No,kaggle,20.04,False,False,False,False,True,True,False,False,False,False,False
6728-DKUCO,72,104.15,7303.05,0,0,Yes,Yes,kaggle,101.43125,True,False,False,True,False,False,True,False,False,False,True
9750-BOOHV,32,30.15,927.65,0,0,No,No,kaggle,28.9890625,True,False,False,False,True,False,False,False,False,True,False
8597-CWYHH,43,94.35,3921.3,0,0,No,No,kaggle,91.19302325581396,True,False,False,False,True,True,True,False,False,True,False
2848-YXSMW,72,19.4,1363.25,0,0,Yes,Yes,kaggle,18.93402777777778,False,True,True,False,False,True,False,True,False,False,True
0486-HECZI,55,96.75,5238.9,1,0,Yes,No,kaggle,95.25272727272727,False,False,False,True,False,True,True,False,False,False,True
4549-ZDQYY,52,57.95,3042.25,0,0,No,No,kaggle,58.50480769230769,True,False,True,False,False,False,False,False,False,False,True
5712-AHQNN,43,91.65,3954.1,0,0,No,No,kaggle,91.95581395348837,False,False,False,True,False,False,True,False,False,True,False
4846-WHAFZ,37,76.5,2868.15,1,1,Yes,No,kaggle,77.51756756756757,False,False,False,True,False,False,True,False,False,True,False
5256-SKJGO,64,54.6,3423.5,0,0,Yes,Yes,kaggle,53.4921875,False,True,False,True,False,False,False,False,False,False,True
3071-VBYPO,3,89.85,248.4,0,0,Yes,Yes,kaggle,82.8,False,False,False,True,False,True,True,False,False,False,False
9560-BBZXK,36,31.05,1126.35,0,0,No,No,kaggle,31.287499999999998,False,True,False,False,False,False,False,False,False,True,False
5299-RULOA,10,100.25,1064.65,1,0,Yes,Yes,kaggle,106.465,False,False,False,True,False,False,True,False,False,False,False
8402-OOOHJ,41,20.65,835.15,0,0,No,No,kaggle,20.36951219512195,False,True,False,False,True,False,False,True,False,True,False
9445-ZUEQE,27,85.2,2151.6,0,0,Yes,Yes,kaggle,79.68888888888888,False,False,True,False,False,True,True,False,False,True,False
1091-SOZGA,56,99.8,5515.45,0,0,Yes,Yes,kaggle,98.49017857142857,True,False,True,False,False,False,True,False,False,False,True
2928-HLDBA,6,20.7,112.75,0,0,No,No,kaggle,18.791666666666668,False,False,False,False,True,False,False,True,False,False,False
0404-SWRVG,3,74.4,229.55,1,0,No,No,kaggle,76.51666666666667,False,False,False,True,False,True,True,False,False,False,False
6497-TILVL,7,50.7,350.35,0,0,Yes,Yes,kaggle,50.050000000000004,False,False,False,False,True,False,False,False,False,False,False
7219-TLZHO,4,20.85,62.9,0,0,Yes,Yes,kaggle,15.725,False,False,False,False,True,False,False,True,False,False,False
4622-YNKIJ,33,88.95,3027.65,0,0,No,No,kaggle,91.7469696969697,False,True,False,True,False,True,True,False,False,True,False
4412-YLTKF,27,78.05,2135.5,1,1,No,No,kaggle,79.0925925925926,False,False,False,True,False,False,True,False,False,True,False
6734-PSBAW,72,23.55,1723.95,0,0,Yes,No,kaggle,23.94375,False,True,False,False,False,True,False,True,False,False,True
3930-ZGWVE,1,19.75,19.75,0,0,No,No,kaggle,19.75,False,False,False,False,True,True,False,True,False,False,False
2639-UGMAZ,71,56.45,3985.35,0,1,No,No,kaggle,56.131690140845066,True,False,False,True,False,True,False,False,False,False,True
2876-GZYZC,13,85.95,1215.65,0,0,No,No,kaggle,93.51153846153846,False,False,False,True,False,False,True,False,True,False,False
6207-WIOLX,25,58.6,1502.65,1,0,Yes,Yes,kaggle,60.106,False,False,True,False,False,False,False,False,False,True,False
8587-XYZSF,67,50.55,3260.1,0,0,No,No,kaggle,48.65820895522388,False,True,False,False,False,True,False,False,False,False,True
3091-FYHKI,1,35.45,35.45,1,0,No,No,kaggle,35.45,False,False,False,True,False,True,False,False,False,False,False
2372-HWUHI,2,44.35,81.25,1,0,No,No,kaggle,40.625,False,False,False,True,False,True,False,False,False,False,False
7799-LGRDP,43,25.7,1188.2,0,0,No,No,kaggle,27.632558139534886,False,True,True,False,False,False,False,True,False,True,False
7850-VWJUU,23,75.0,1778.5,0,0,No,No,kaggle,77.32608695652173,False,False,False,False,False,False,True,False,True,False,False
3774-VBNXY,64,20.2,1277.75,0,0,Yes,Yes,kaggle,19.96484375,False,True,False,False,True,False,False,True,False,False,True
6217-KDYWC,57,19.6,1170.55,0,0,No,Yes,kaggle,20.5359649122807,False,True,False,False,True,True,False,True,False,False,True
0390-DCFDQ,1,70.45,70.45,1,1,Yes,No,kaggle,70.45,False,False,False,False,True,False,True,False,False,False,False
3146-MSEGF,72,88.05,6425.65,0,1,Yes,Yes,kaggle,89.24513888888889,False,True,True,False,False,False,False,False,False,False,True
4080-OGPJL,8,71.15,563.65,1,0,No,No,kaggle,70.45625,False,False,False,True,False,False,False,False,False,False,False
1095-WGNGG,61,101.05,5971.25,0,0,Yes,No,kaggle,97.88934426229508,False,True,False,False,False,False,True,False,False,False,True
2636-SJDOU,64,84.3,5289.05,0,0,No,No,kaggle,82.64140625,True,False,True,False,False,True,True,False,False,False,True
1131-QQZEB,71,23.95,1756.2,0,1,Yes,No,kaggle,24.735211267605635,False,True,False,False,False,True,False,True,False,False,True
5716-EZXZN,65,99.05,6416.7,0,0,Yes,Yes,kaggle,98.71846153846154,False,True,True,False,False,False,True,False,False,False,True
6837-BJYDQ,3,19.6,61.35,0,0,No,No,kaggle,20.45,True,False,False,False,True,True,False,True,False,False,False
2135-RXIHG,1,45.65,45.65,1,0,No,No,kaggle,45.65,False,False,False,True,False,True,False,False,False,False,False
6440-DKQGE,30,64.5,1929.95,0,0,No,Yes,kaggle,64.33166666666666,True,False,True,False,False,True,False,False,False,True,False
3466-BYAVD,15,69.5,1071.4,0,0,Yes,Yes,kaggle,71.42666666666668,False,False,False,False,True,True,False,False,True,False,False
3780-YVMFA,8,68.55,564.35,0,0,Yes,Yes,kaggle,70.54375,False,False,False,True,False,False,False,False,False,False,False
3874-EQOEP,7,95.0,655.5,1,0,No,No,kaggle,93.64285714285714,False,False,False,False,True,True,True,False,False,False,False
1679-JRFBR,70,108.15,7930.55,0,0,Yes,Yes,kaggle,113.29357142857143,True,False,True,False,False,False,True,False,False,False,True
9073-ZZIAY,62,86.1,5215.25,0,0,Yes,Yes,kaggle,84.11693548387096,False,True,False,True,False,True,False,False,False,False,True
3077-RSNTJ,6,19.7,113.5,0,0,Yes,Yes,kaggle,18.916666666666668,False,False,False,False,True,False,False,True,False,False,False
6551-GNYDG,14,80.9,1152.8,0,0,Yes,Yes,kaggle,82.34285714285714,False,False,False,False,False,False,True,False,True,False,False
9167-APMXZ,22,84.15,1821.95,0,0,No,No,kaggle,82.81590909090909,False,False,False,False,False,False,True,False,True,False,False
2749-CTKAJ,22,20.15,419.9,0,0,Yes,Yes,kaggle,19.086363636363636,True,False,False,False,True,True,False,True,True,False,False
6371-NZYEG,16,64.25,1024.0,0,0,Yes,Yes,kaggle,64.0,False,True,False,False,True,True,False,False,True,False,False
7554-NEWDD,10,25.7,251.6,0,0,No,No,kaggle,25.16,False,True,False,False,False,True,False,True,False,False,False
8992-VONJD,13,56.0,764.55,0,0,No,Yes,kaggle,58.81153846153846,False,False,False,True,False,False,False,False,True,False,False
0867-MKZVY,20,82.4,1592.35,1,0,Yes,No,kaggle,79.61749999999999,False,False,False,True,False,False,True,False,True,False,False
4482-EWFMI,2,69.7,135.2,0,0,No,No,kaggle,67.6,False,False,False,True,False,False,True,False,False,False,False
4648-YPBTM,53,73.9,3958.25,0,0,No,No,kaggle,74.68396226415095,False,True,False,False,False,True,False,False,False,False,True
2907-ILJBN,11,20.6,233.9,0,0,Yes,Yes,kaggle,21.263636363636365,True,False,False,False,True,False,False,True,False,False,False
6345-FZOQH,69,19.9,1363.45,0,0,Yes,No,kaggle,19.76014492753623,False,True,False,False,True,True,False,True,False,False,True
3376-BMGFE,4,70.9,273.0,1,0,No,No,kaggle,68.25,False,False,False,False,False,False,True,False,False,False,False
5997-OPVFA,72,89.05,6254.45,0,0,Yes,No,kaggle,86.86736111111111,False,True,False,False,False,True,False,False,False,False,True
3445-HXXGF,58,45.3,2651.2,1,1,Yes,No,kaggle,45.710344827586205,False,False,False,True,False,True,False,False,False,False,True
1159-WFSGR,16,20.4,321.4,0,0,Yes,Yes,kaggle,20.0875,False,False,False,True,False,False,False,True,True,False,False
7654-YWJUF,43,84.25,3539.25,0,0,Yes,No,kaggle,82.30813953488372,True,False,False,False,False,True,True,False,False,True,False
1875-QIVME,2,104.4,242.8,1,0,Yes,No,kaggle,121.4,False,False,False,True,False,False,True,False,False,False,False
6727-IOTLZ,14,81.95,1181.75,0,0,Yes,No,kaggle,84.41071428571429,False,True,False,False,True,True,False,False,True,False,False
0691-JVSYA,53,94.85,5000.2,1,0,Yes,No,kaggle,94.3433962264151,True,False,False,False,False,False,True,False,False,False,True
5918-VUKWP,32,20.55,654.55,0,0,No,No,kaggle,20.4546875,True,False,False,False,False,False,False,True,False,True,False
1744-JHKYS,34,24.7,780.2,0,0,Yes,No,kaggle,22.947058823529414,False,False,False,True,False,False,False,True,False,True,False
2656-FMOKZ,15,74.45,1145.7,1,1,No,No,kaggle,76.38000000000001,False,False,False,False,True,False,True,False,True,False,False
2070-FNEXE,7,76.45,503.6,1,1,No,No,kaggle,71.94285714285715,False,False,False,False,False,False,True,False,False,False,False
5947-SGKCL,15,105.35,1559.25,0,0,Yes,Yes,kaggle,103.95,False,False,False,False,False,False,True,False,True,False,False
3712-PKXZA,61,20.55,1252.0,0,0,Yes,No,kaggle,20.524590163934427,True,False,True,False,False,True,False,True,False,False,True
6317-YPKDH,1,29.95,29.95,1,0,No,No,kaggle,29.95,False,False,False,False,False,False,False,False,False,False,False
6582-OIVSP,1,45.3,45.3,0,0,No,No,kaggle,45.3,False,False,False,False,True,False,False,False,False,False,False
9367-WXLCH,8,84.5,662.65,1,0,No,No,kaggle,82.83125,False,False,False,False,False,True,True,False,False,False,False
5524-KHNJP,33,74.75,2453.3,0,0,Yes,Yes,kaggle,74.34242424242424,True,False,True,False,False,True,False,False,False,True,False
1918-ZBFQJ,13,79.25,1111.65,1,0,No,No,kaggle,85.51153846153846,False,False,False,True,False,False,True,False,True,False,False
1024-GUALD,1,24.8,24.8,1,0,Yes,No,kaggle,24.8,False,False,False,True,False,False,False,False,False,False,False
4827-USJHP,20,51.8,1023.85,0,0,No,No,kaggle,51.1925,False,False,False,False,True,True,False,False,True,False,False
8167-GJLRN,3,30.4,82.15,0,0,No,No,kaggle,27.383333333333336,False,False,False,True,False,True,False,False,False,False,False
0956-SYCWG,13,19.65,244.8,0,0,No,No,kaggle,18.83076923076923,True,False,False,True,False,False,False,True,True,False,False
8017-UVSZU,40,56.6,2379.1,0,0,Yes,No,kaggle,59.4775,False,False,True,False,False,False,False,False,False,True,False
7100-FQPRV,43,71.9,3173.35,0,0,Yes,Yes,kaggle,73.79883720930232,True,False,True,False,False,True,False,False,False,True,False
2472-OVKUP,6,91.0,531.0,1,0,Yes,No,kaggle,88.5,False,False,False,True,False,True,True,False,False,False,False
2984-RGEYA,69,19.75,1375.4,0,0,Yes,Yes,kaggle,19.933333333333334,False,True,False,False,False,False,False,True,False,False,True
9680-NIAUV,72,109.7,8129.3,0,0,Yes,Yes,kaggle,112.90694444444445,False,True,True,False,False,False,True,False,False,False,True
2146-EGVDT,59,19.3,1192.7,0,0,Yes,Yes,kaggle,20.215254237288136,False,True,True,False,False,True,False,True,False,False,True
2604-IJPDU,20,96.55,1901.65,0,0,Yes,No,kaggle,95.08250000000001,False,False,False,True,False,False,True,False,True,False,False
9178-JHUVJ,24,24.1,587.4,0,0,Yes,Yes,kaggle,24.474999999999998,False,True,False,False,False,True,False,True,True,False,False
6168-YBYNP,59,111.35,6519.75,0,0,No,No,kaggle,110.5042372881356,False,False,False,True,False,True,True,False,False,False,True
7255-SSFBC,72,112.25,8041.65,0,0,Yes,Yes,kaggle,111.68958333333333,False,True,False,False,False,True,True,False,False,False,True
3645-DEYGF,1,20.75,20.75,0,0,No,Yes,kaggle,20.75,False,False,False,False,True,True,False,True,False,False,False
9323-HGFWY,27,101.9,2681.15,0,0,Yes,No,kaggle,99.30185185185185,True,False,True,False,False,False,True,False,False,True,False
8544-GOQSH,14,80.05,1112.3,0,0,No,No,kaggle,79.45,False,False,True,False,False,False,True,False,True,False,False
3363-DTIVD,71,105.55,7405.5,0,0,Yes,Yes,kaggle,104.30281690140845,False,True,False,True,False,True,True,False,False,False,True
7018-WBJNK,13,78.3,1033.95,0,0,No,Yes,kaggle,79.53461538461539,False,False,True,False,False,True,True,False,True,False,False
9142-KZXOP,44,68.85,2958.95,0,0,No,No,kaggle,67.24886363636364,False,False,True,False,False,True,True,False,False,True,False
7674-YTAFD,33,79.95,2684.85,0,0,No,No,kaggle,81.35909090909091,True,False,False,False,False,False,True,False,False,True,False
6348-SNFUS,72,55.45,4179.2,0,0,Yes,Yes,kaggle,58.044444444444444,False,True,True,False,False,True,False,False,False,False,True
1285-OKIPP,1,79.9,79.9,1,0,No,No,kaggle,79.9,False,False,False,True,False,True,True,False,False,False,False
7825-ECJRF,19,106.6,1934.45,1,0,No,No,kaggle,101.81315789473685,False,False,False,True,False,False,True,False,True,False,False
1347-KTTTA,64,102.45,6654.1,0,0,Yes,No,kaggle,103.9703125,True,False,True,False,False,True,True,False,False,False,True
7841-TZDMQ,2,46.0,84.5,1,0,No,No,kaggle,42.25,False,False,True,False,False,True,False,False,False,False,False
4195-NZGTA,1,25.25,25.25,0,0,No,No,kaggle,25.25,False,False,False,True,False,False,False,False,False,False,False
7157-SMCFK,61,19.75,1124.2,0,0,No,Yes,kaggle,18.42950819672131,False,True,False,False,True,True,False,True,False,False,True
4709-LKHYG,29,20.0,540.05,0,0,Yes,Yes,kaggle,18.622413793103448,True,False,False,True,False,False,False,True,False,True,False
2504-DSHIH,23,86.8,1975.85,0,1,Yes,No,kaggle,85.90652173913043,False,False,False,True,False,True,True,False,True,False,False
0699-NDKJM,57,58.75,3437.45,0,0,Yes,No,kaggle,60.30614035087719,False,False,False,False,False,False,False,False,False,False,True
